Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
04/03/2025,26.8,60.3,28,72.7,Seedling,Seaweed Extract,31.8,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.02046448,3817.21
28/08/2025,24,73.9,26.6,90,Seedling,DAP,18.4,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.52568992,3040.09
21/02/2025,30.9,27.5,33.7,67.5,Flowering,Organic Compost,19.5,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.00808254,2986.91
12/07/2025,26.1,70.2,35.3,90.9,Panicle Initiation,Magnesium Sulphate,24.3,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.93228417,3814.37
10/09/2025,32.8,36.3,30.1,77,Tillering,Biochar,21.5,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.509017941,1721.19
10/04/2025,23.7,75,29.4,74.1,Tillering,Seaweed Extract,21.5,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,10.26042475,630.76
07/12/2025,22.3,30,26.9,62.3,Seedling,Zinc Sulphate,21.2,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,8.07,1751.01
25/05/2025,26.6,59.4,35.2,65.5,Flowering,Potash,17.2,Growth stimulant and micronutrients,Use split application to reduce leaching.,10.11550502,3802.1
04/03/2025,28.7,68.4,26.9,90.7,Panicle Initiation,Compost Tea,24.8,Micronutrient for enzyme activation,Maintain irrigation schedule to avoid fertilizer runoff.,10.87899862,2451.28
02/05/2025,31.1,33.3,27.8,79.8,Panicle Initiation,MOP,18,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.118449352,2687.53
18/11/2025,24.9,30.7,26.2,61.4,Tillering,MOP,12.9,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.335294486,3000.11
18/07/2025,24,51,26.9,60.8,Tillering,Ammonium Sulphate,22.3,Improves grain quality and resistance,Ensure soil testing before application.,9.172297263,3384.38
28/07/2025,33.8,48.9,28.5,75.6,Harvest,Calcium Nitrate,13.6,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.64118014,2878.01
26/11/2025,24.5,51,31.6,77.2,Harvest,Copper Sulphate,22.1,Slow-release phosphorus,Prefer organic alternatives where possible.,9.637423832,1734.62
21/10/2025,32.4,52.4,34.1,86.7,Flowering,Phosphate Rock,20.6,Micronutrient for enzyme activation,Avoid chemical overuse; combine with compost.,10.63900114,3038.02
31/07/2025,26.2,49,26.5,91.1,Harvest,Green Manure,6.5,Soil conditioner and nutrient uptake,Ensure soil testing before application.,9.350305983,2753.02
25/07/2025,25.9,40.4,30,94.1,Panicle Initiation,MOP,34.6,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.906452998,1595.07
24/02/2025,26.5,67.1,32.8,63.2,Harvest,Zinc Sulphate,35.9,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.53520098,4288.76
22/12/2025,28.9,40.8,34.3,61.5,Seedling,Potash,22.3,Slow-release phosphorus,Use split application to reduce leaching.,9.388152639,646.44
06/11/2025,31.2,34.8,28.7,88.9,Seedling,Humic Acid,37.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.729205143,4555.28
23/07/2025,27.8,49.6,35.7,73.2,Tillering,DAP,36.6,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,10.03738727,4334.6
20/04/2025,27,73.3,27.8,70.4,Tillering,MOP,20.9,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,10.52206464,3182.74
22/10/2025,32.3,40.1,35,63.8,Flowering,Green Manure,19.1,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.598116113,3694.99
20/02/2025,29.1,26.2,34.5,90.8,Seedling,Urea,27.4,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.493946941,1280.67
05/06/2025,22,67.2,29.5,83.2,Flowering,DAP,16.5,Phosphorus for root development,Use split application to reduce leaching.,10.0492352,1496.69
27/07/2025,34,74.3,33.7,75.4,Flowering,Potash,20.6,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,11.01884923,2810.41
21/12/2025,27.8,57.2,29.4,81.7,Harvest,Ammonium Sulphate,19,Nitrogen enrichment from legumes,Avoid chemical overuse; combine with compost.,10.05192961,2241.62
14/06/2025,22.9,38.6,30.2,81.2,Tillering,Humic Acid,8.8,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,8.963608705,2290.73
28/01/2025,27.3,27.1,32.5,87,Flowering,Compost Tea,5.2,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,8.679032446,2687.39
03/08/2025,33.7,44.3,31.7,88.9,Flowering,Organic Compost,13.6,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.775100604,2927.04
02/05/2025,33.2,52.6,26.5,66.2,Tillering,Seaweed Extract,20.7,Improves soil fertility and carbon retention,Ensure soil testing before application.,9.740217819,2796.89
16/08/2025,25.3,56.3,34.4,76.2,Tillering,DAP,17.4,Improves grain quality and resistance,Use split application to reduce leaching.,9.699160752,1397.14
30/08/2025,26.9,46.1,26.1,66.7,Seedling,Calcium Nitrate,14.3,Improves grain quality and resistance,Ensure soil testing before application.,8.863043147,3066.9
05/11/2025,33.8,64.4,29.3,74.8,Tillering,Copper Sulphate,22.3,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.81732815,685.91
28/08/2025,28.7,69.8,28,90.2,Harvest,DAP,10.3,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,10.52533714,2381.76
24/12/2025,23.9,46.6,26.7,90.4,Seedling,Potash,22.4,Micronutrient for enzyme activation,Maintain irrigation schedule to avoid fertilizer runoff.,9.468446145,705.37
11/12/2025,24.3,51.1,30.2,60.6,Flowering,Iron Chelate,17.5,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.350818344,1611.76
04/09/2025,27.2,39.7,35.1,88.3,Harvest,Humic Acid,15.2,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,9.648650023,761.64
08/01/2025,25.4,73,31.4,60.6,Harvest,Magnesium Sulphate,21.4,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,10.32725276,3242.99
15/08/2025,23.9,61.7,28.1,72.3,Seedling,Magnesium Sulphate,18.1,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.761807265,2189.88
11/06/2025,27.9,49.1,26.6,77.5,Flowering,Phosphate Rock,18.2,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,9.724950307,588.2
27/01/2025,22.1,48.7,33.5,61.8,Seedling,Urea,21.6,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.051444915,3201.32
18/03/2025,26.2,42.9,28.6,72.3,Panicle Initiation,Boron,25.5,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.19772771,3528.07
15/09/2025,25.9,38.1,30,72.2,Panicle Initiation,Compost Tea,19.7,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.218229388,4003.4
05/11/2025,33.8,63.3,28.8,74.8,Seedling,Phosphate Rock,22.2,Potassium for stem and disease resistance,Ensure soil testing before application.,10.79081884,731.41
02/11/2025,25.8,41.4,35.2,79.2,Flowering,Boron,24.2,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.678102379,3212.31
16/05/2025,32.7,75,29.1,70.9,Flowering,Zinc Sulphate,18.7,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.78513619,2837.69
01/03/2025,26.6,28.7,27.6,85.6,Tillering,MOP,13.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,8.824715508,635.82
20/09/2025,22.5,33.9,28.1,63.1,Harvest,MOP,16.3,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,8.290986634,2837.21
18/02/2025,23.6,44.9,35.4,65.8,Seedling,Calcium Nitrate,13.3,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,9.302457058,2951.9
21/09/2025,23.4,50.1,32.4,79,Harvest,Zinc Sulphate,21.1,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,9.868608403,1753.55
17/11/2025,30.3,42.6,31.2,63.2,Harvest,Seaweed Extract,10.3,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.093180739,3041.62
09/03/2025,31.9,52.7,31.8,78.1,Panicle Initiation,Boron,28,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,10.17000543,4123.22
15/06/2025,30.7,60.8,28.5,64.5,Panicle Initiation,Compost Tea,30.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,10.29839068,3736.67
03/12/2025,25.6,27.9,26.1,62.5,Seedling,Seaweed Extract,15.8,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,8.100743478,3451.71
08/04/2025,28.2,46.7,27.1,81.9,Seedling,Iron Chelate,18.2,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,9.74006611,2128.05
09/10/2025,28.2,69.3,30.1,94.6,Flowering,Seaweed Extract,4.3,Enhances microbial activity,Use split application to reduce leaching.,10.85435215,2194.12
04/02/2025,31,40.1,27.6,86.8,Seedling,DAP,25.6,Micronutrient for enzyme activation,Maintain irrigation schedule to avoid fertilizer runoff.,9.500941992,3953.78
18/11/2025,24.5,31.9,26.3,60.8,Flowering,DAP,14.1,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,8.352950416,2957.57
29/05/2025,23.7,39.5,33.9,62.7,Flowering,Copper Sulphate,17.5,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,8.890124131,1461.67
10/02/2025,24.9,62.2,34.6,85.5,Seedling,Biochar,19,Micronutrient for enzyme activation,Use split application to reduce leaching.,10.23414673,3831.39
14/06/2025,25.9,52.6,35.3,70.6,Flowering,Ammonium Sulphate,30.3,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.795457191,1505.72
16/11/2025,23.3,40.6,31.8,84.7,Harvest,Iron Chelate,18.3,Growth stimulant and micronutrients,Ensure soil testing before application.,9.425958813,2353.21
27/03/2025,22.7,34.5,30.4,86.9,Flowering,Phosphate Rock,24,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.182355851,2845.61
13/11/2025,30.1,74.4,27.6,63.1,Harvest,Zinc Sulphate,14.1,Slow-release phosphorus,Prefer organic alternatives where possible.,10.37716993,3044.07
01/01/2025,33.8,31.5,28.1,85.4,Harvest,Magnesium Sulphate,24.1,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.622902966,3170.99
31/12/2025,30.4,47.9,31.4,65.4,Harvest,Zinc Sulphate,6.9,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.417194007,2489.03
12/10/2025,26.4,54.2,29.1,81.9,Tillering,Iron Chelate,15.3,Improves soil fertility and carbon retention,Ensure soil testing before application.,9.863523631,1442.93
08/08/2025,28.1,28.7,30.9,74,Tillering,Boron,18.7,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,9.045299898,2635.53
09/03/2025,32,52.8,31.9,77.5,Flowering,Potash,28.3,Potassium for stress tolerance,Use split application to reduce leaching.,10.15145029,4126.06
21/09/2025,32.9,54.5,29.2,77.9,Seedling,Iron Chelate,18.8,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,10.25129796,1735.45
06/12/2025,23.2,70.2,34.1,70.6,Flowering,Boron,23.6,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,10.23126901,2405.89
15/01/2025,31.7,57.9,33.2,77.1,Tillering,Boron,39.5,Enhances microbial activity,Use split application to reduce leaching.,10.60766949,4665.81
27/08/2025,28.8,44.2,32.4,94.5,Panicle Initiation,Magnesium Sulphate,28.9,Iron supply to prevent chlorosis,Ensure soil testing before application.,10.10567455,1447.85
08/02/2025,30.5,60.1,29.7,76.5,Panicle Initiation,Zinc Sulphate,23.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.3013706,3259.93
30/12/2025,24.6,31.4,36,87.8,Flowering,Compost Tea,4.8,Improves soil fertility and carbon retention,Ensure soil testing before application.,8.752415083,2409.46
01/05/2025,32.8,52.4,36,62,Tillering,Green Manure,29.7,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.28187948,1510.82
07/09/2025,29,27.9,31.7,75.8,Harvest,Copper Sulphate,16.5,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,8.839838792,942.05
13/02/2025,29.2,48,27.2,80.9,Tillering,Copper Sulphate,21.6,Phosphorus for root development,Prefer organic alternatives where possible.,9.71995873,2178.53
01/08/2025,22.9,27,31.9,71.5,Flowering,DAP,19.7,Micronutrient for flower formation,Maintain irrigation schedule to avoid fertilizer runoff.,8.489878023,3117.96
06/09/2025,23.4,46.1,33.1,74.9,Tillering,Ammonium Sulphate,36.4,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.706847718,4428.58
27/06/2025,31,25.6,28.8,87.7,Panicle Initiation,Iron Chelate,13.7,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,9.190501368,642.83
05/11/2025,30.6,65.3,30.7,69.9,Harvest,Biochar,13,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.19832408,677.8
03/05/2025,23.3,65.4,30,69,Flowering,Ammonium Sulphate,21.3,Slow-release phosphorus,Ensure soil testing before application.,9.9605882,2614.02
08/12/2025,30.1,31.2,26.9,72.4,Flowering,Urea,19.3,Micronutrient for flower formation,Use split application to reduce leaching.,8.778723296,3151.83
19/02/2025,33,31.4,28.5,93.3,Seedling,Zinc Sulphate,20.4,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,9.519288276,2371.12
12/07/2025,22.1,42.6,27.7,66.5,Harvest,Biochar,16.4,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,8.84365821,2142.91
29/04/2025,31.9,68.5,31.4,91.9,Flowering,Zinc Sulphate,15.1,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,10.93052202,760.53
22/01/2025,31.9,73.3,32.3,82.5,Tillering,Boron,9,Improves grain quality and resistance,Use split application to reduce leaching.,10.99368196,3763.06
31/07/2025,33.3,60.8,36,77.2,Tillering,Organic Compost,16.8,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.63334764,856.49
24/02/2025,26.2,68.3,32.8,62.9,Tillering,Calcium Nitrate,35.9,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.54948146,4342.35
24/10/2025,27.1,64.4,35.4,85.9,Tillering,Organic Compost,21.7,Enhances microbial activity,Use split application to reduce leaching.,10.56261369,3324.7
20/05/2025,26.2,35.9,30.2,68.9,Flowering,Seaweed Extract,20.7,Improves grain quality and resistance,Prefer organic alternatives where possible.,8.873133525,2705.14
06/07/2025,33.7,56.9,28,93.3,Panicle Initiation,Urea,16,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.68356632,2783.97
20/10/2025,24.1,57.8,26,69.3,Harvest,MOP,10.5,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.286995574,3177.39
11/07/2025,32.2,52.2,28.9,68.2,Tillering,Magnesium Sulphate,9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.392817181,2322.23
21/08/2025,29.5,40.5,29.8,82.8,Flowering,MOP,18.8,Improves grain quality and resistance,Use split application to reduce leaching.,9.369124432,3723
01/04/2025,33.5,70.8,28.2,80.2,Flowering,Phosphate Rock,38.5,Enhances microbial activity,Use split application to reduce leaching.,11.35610022,4643.31
25/09/2025,28.8,37.7,31.6,92.9,Tillering,Urea,8.2,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,9.585829468,2590.89
14/09/2025,33.3,57.2,26.5,75.4,Seedling,MOP,25.9,Improves grain quality and resistance,Prefer organic alternatives where possible.,10.44039227,3143.82
22/11/2025,31.3,26.6,32.7,67.9,Flowering,Boron,17.1,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,8.807535439,2078.44
12/12/2025,25.6,65.6,35.7,73.5,Harvest,Ammonium Sulphate,21.5,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,10.54273351,2589.33
26/06/2025,32.2,67.7,35.2,84.5,Harvest,Seaweed Extract,34.1,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,11.39753119,1678.87
19/09/2025,27.3,36.7,31.7,74.2,Seedling,MOP,15.9,Nitrogen and sulphur supply,Ensure soil testing before application.,8.981782245,1510.97
30/01/2025,27.6,28.6,34.2,68.1,Flowering,Ammonium Sulphate,28.7,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,8.771980073,1491.73
02/12/2025,28,53.9,36,66.2,Seedling,Humic Acid,22.6,Enhances microbial activity,Avoid chemical overuse; combine with compost.,10.05793818,1828.57
05/02/2025,22.3,35,28.4,81,Flowering,MOP,19.4,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,8.857797669,2544
21/07/2025,33.8,39.3,27.6,80.4,Flowering,Iron Chelate,19.6,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,9.798501294,3220.6
25/04/2025,24.2,57.9,32.3,70.1,Seedling,Compost Tea,26.5,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,10.05294676,3541.53
03/08/2025,31,47.6,30.3,81.3,Panicle Initiation,Phosphate Rock,18.9,Improves soil fertility and carbon retention,Use split application to reduce leaching.,10.04382489,2876.93
23/12/2025,24.4,49.2,29.1,68.3,Tillering,Compost Tea,37.2,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,9.596589895,4454.23
06/07/2025,33.9,57.8,28.1,92.3,Tillering,DAP,15.6,Micronutrient for enzyme activation,Maintain irrigation schedule to avoid fertilizer runoff.,10.73877073,2772.02
12/11/2025,22.9,73.3,26.8,81.2,Tillering,Boron,19.8,Micronutrient for flower formation,Prefer organic alternatives where possible.,10.25105247,516
18/01/2025,27.7,62.4,34.3,88.6,Seedling,Potash,7.9,Micronutrient for flower formation,Ensure soil testing before application.,10.33767835,3784.75
19/12/2025,23.6,67.4,31.7,67.1,Flowering,Boron,22.5,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,10.04055051,1820.08
13/07/2025,28.9,58.9,35.6,93.1,Flowering,Potash,27.1,Enhances microbial activity,Ensure soil testing before application.,10.86840557,2643.77
12/02/2025,30.4,46.5,29.5,81.1,Harvest,Copper Sulphate,23.7,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.844849596,3563.61
16/09/2025,32.8,50.9,33.8,92.2,Flowering,Organic Compost,27.7,Enhances microbial activity,Avoid chemical overuse; combine with compost.,10.42925092,2697.27
26/06/2025,31.2,40.5,31.4,68.6,Panicle Initiation,Organic Compost,37.7,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.622635646,4527.34
18/12/2025,28.1,43.5,35.6,74.7,Tillering,Phosphate Rock,4.7,Nitrogen and sulphur supply,Ensure soil testing before application.,9.528663841,2720.98
28/06/2025,23.4,33.1,32,61.7,Panicle Initiation,Organic Compost,22.7,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.454164651,3414.84
15/08/2025,23.5,62.5,27.7,72,Tillering,Compost Tea,18.1,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.871061952,2079.63
02/08/2025,26.8,60.4,27.8,83.4,Seedling,Copper Sulphate,18.5,Improves soil structure and moisture retention,Ensure soil testing before application.,10.20361352,1522.55
31/08/2025,27.1,25,28,66.2,Panicle Initiation,Compost Tea,9.7,Micronutrient for enzyme activation,Ensure soil testing before application.,8.106858282,2674.05
02/12/2025,32.5,66.5,29.6,67,Flowering,Calcium Nitrate,22.8,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,10.33605902,3311.71
12/09/2025,28.7,62.5,33.7,84.9,Tillering,Organic Compost,16.7,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.50010467,1623.6
03/02/2025,32,45.6,35.1,80.2,Harvest,Iron Chelate,18.7,Enhances microbial activity,Use split application to reduce leaching.,9.755969132,1695.24
04/02/2025,22.5,25.3,28.6,79.7,Panicle Initiation,DAP,15.2,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,8.596197501,3178.84
17/11/2025,30.8,42.5,31.2,63.2,Seedling,Green Manure,10.4,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.113034856,3108.14
17/02/2025,30.5,40.5,33.1,62.3,Harvest,Potash,7,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.089526834,3234.58
06/10/2025,33.5,54.8,35.5,68,Seedling,Organic Compost,32.8,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,10.53688063,3953.54
24/02/2025,25.8,67.2,32.8,63.7,Tillering,Zinc Sulphate,36.1,Phosphorus for root development,Use split application to reduce leaching.,10.5663463,4311.11
04/06/2025,22.2,48.3,28.4,73,Panicle Initiation,Biochar,39.5,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.873889593,4747.83
17/05/2025,23,41,32.5,60,Seedling,Ammonium Sulphate,22.3,Phosphorus for root development,Ensure soil testing before application.,8.943042435,3254.73
24/09/2025,25,53.9,29.8,79,Harvest,Urea,23.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.803846302,3006.68
24/05/2025,31.4,27,28.2,70.5,Harvest,Phosphate Rock,10.7,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,8.740441709,3187.43
11/06/2025,29.3,71.3,32.5,83.6,Flowering,DAP,17.9,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,10.68780524,2238.1
30/09/2025,25.1,73.5,35,83.7,Seedling,Potash,5.9,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,10.64673597,2881.91
18/02/2025,23.6,45.5,35.4,65.3,Panicle Initiation,Organic Compost,14,Improves soil structure and moisture retention,Ensure soil testing before application.,9.300135614,2901.7
21/11/2025,24.3,56.2,31.8,80.9,Panicle Initiation,Ammonium Sulphate,18,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,10.12757333,2636.65
16/08/2025,31.8,63,29,81.7,Flowering,Phosphate Rock,9.7,Micronutrient for enzyme activation,Use split application to reduce leaching.,10.09064876,2352
26/02/2025,23.3,57.1,28.7,81.4,Harvest,Zinc Sulphate,22.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.96439548,2954.55
05/11/2025,30.2,50.6,28.2,63.7,Seedling,DAP,8.1,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.380334184,2231.98
20/04/2025,27.2,52.5,33.2,64,Harvest,Copper Sulphate,19.9,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,9.647389746,1705.06
23/05/2025,31.8,40.4,32.3,91.3,Seedling,Green Manure,13.8,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.92425694,2557.06
23/12/2025,26.6,35,28.3,72.2,Seedling,Urea,19.1,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,8.780368128,2269.12
09/07/2025,26,33.1,33.6,86.7,Seedling,Green Manure,25.5,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.280981594,3297.54
06/01/2025,23.3,63.9,31.3,71.9,Harvest,Calcium Nitrate,20,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,10.0358097,2578.94
22/12/2025,27.1,62.4,28.4,63.7,Harvest,Magnesium Sulphate,15.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.723690903,1467.17
05/06/2025,30.1,60,28.2,68.8,Harvest,Biochar,13.4,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.873128665,2440.57
23/08/2025,23.6,58.2,34.5,65.8,Tillering,Calcium Nitrate,28.2,Improves soil structure and moisture retention,Ensure soil testing before application.,9.957678617,2798.28
24/09/2025,30.9,38.1,33.8,87.4,Harvest,Organic Compost,14.9,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,9.518699419,2721.33
29/04/2025,30.9,37.8,26.8,89,Flowering,Potash,6.5,Improves grain quality and resistance,Prefer organic alternatives where possible.,9.226621978,2430.04
06/10/2025,23,26.5,28.6,85.7,Tillering,Organic Compost,19.2,Micronutrient for enzyme activation,Avoid chemical overuse; combine with compost.,8.677055538,1764.25
29/05/2025,23.5,38.7,33.6,62,Seedling,Seaweed Extract,17,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,8.91116549,1414.28
02/11/2025,24.9,31.3,27,84.8,Panicle Initiation,Calcium Nitrate,26,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.110153426,3526.33
12/08/2025,26.8,33.7,26.3,76.4,Tillering,Phosphate Rock,27.2,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,8.91235451,2740.23
09/06/2025,26.4,74.4,28.7,74.1,Tillering,Magnesium Sulphate,9.8,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.36222772,2669.18
13/06/2025,33,36.8,29.8,67.6,Seedling,Biochar,22.3,Potassium for stress tolerance,Ensure soil testing before application.,9.483897694,1767.84
13/11/2025,27.9,71.5,34.8,65.2,Harvest,Ammonium Sulphate,17.7,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.53697916,2094.49
09/09/2025,27.6,69.6,27.6,75.4,Harvest,DAP,19.1,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.35739722,2841.95
24/11/2025,30.1,65,31.7,67.9,Tillering,Compost Tea,25.1,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,10.56412576,3234.57
21/07/2025,33.8,40.6,27.7,80,Harvest,Green Manure,21.3,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.753318036,3344.48
24/03/2025,24.7,54.3,30.9,68.4,Tillering,Organic Compost,18.5,Improves soil fertility and carbon retention,Ensure soil testing before application.,9.725681794,3817.53
25/06/2025,23.1,61.8,34.2,66.4,Panicle Initiation,MOP,7.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.526053186,2856.16
18/04/2025,32,51.4,32.2,68.2,Panicle Initiation,Boron,33.3,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.938684566,3938.93
13/11/2025,24.9,69.9,29.1,60.6,Seedling,Biochar,9.4,Enhances microbial activity,Prefer organic alternatives where possible.,9.921338516,4061.81
04/02/2025,25.6,48.1,27.2,77.2,Flowering,Biochar,24.6,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,9.551332159,2888.1
13/06/2025,25.4,29.5,32.4,77.2,Flowering,Humic Acid,4.3,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,8.63214388,2256.62
15/02/2025,25.8,53.9,29.7,79.1,Harvest,Calcium Nitrate,23.4,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.938033441,2972.64
31/10/2025,28.2,42.7,26.1,62.5,Flowering,Organic Compost,21.6,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,8.90188775,3253.13
25/08/2025,22.8,73.4,31,73.3,Panicle Initiation,Humic Acid,20.2,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,10.37846048,1787.88
